company,country_name,date,entity_name,entity_type,gender_name,metric_id,metric_name,msa_name,us_region_name,us_state_name,value,world_region_name
"Netflix, Inc.",Australia,2018-09-10,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.3931134,N/A
"Netflix, Inc.",Australia,2018-09-11,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.77674127,N/A
"Netflix, Inc.",Australia,2018-09-12,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.1727453,N/A
"Netflix, Inc.",Australia,2018-09-13,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.344841,N/A
"Netflix, Inc.",Australia,2018-09-14,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.8331667,N/A
"Netflix, Inc.",Australia,2018-09-15,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.6445079,N/A
"Netflix, Inc.",Australia,2018-09-16,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.8964849,N/A
"Netflix, Inc.",Australia,2018-09-17,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.3273991,N/A
"Netflix, Inc.",Australia,2018-09-18,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.4115876,N/A
"Netflix, Inc.",Australia,2018-09-19,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.6600921,N/A
"Netflix, Inc.",Australia,2018-09-20,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.88296676,N/A
"Netflix, Inc.",Australia,2018-09-21,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.2830383,N/A
"Netflix, Inc.",Australia,2018-09-22,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.723494,N/A
"Netflix, Inc.",Australia,2018-09-23,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.6270605,N/A
"Netflix, Inc.",Australia,2018-09-24,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.4632362,N/A
"Netflix, Inc.",Australia,2018-09-25,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.1943151,N/A
"Netflix, Inc.",Australia,2018-09-26,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9363442,N/A
"Netflix, Inc.",Australia,2018-09-27,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.128923,N/A
"Netflix, Inc.",Australia,2018-09-28,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.93383366,N/A
"Netflix, Inc.",Australia,2018-09-29,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,2.001296,N/A
"Netflix, Inc.",Australia,2018-09-30,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.3466321,N/A
"Netflix, Inc.",Austria,2018-09-01,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.8230116,N/A
"Netflix, Inc.",Austria,2018-09-02,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.49008796,N/A
"Netflix, Inc.",Austria,2018-09-03,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.3838596,N/A
"Netflix, Inc.",Austria,2018-09-04,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.0,N/A
"Netflix, Inc.",Austria,2018-09-05,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.7332095,N/A
"Netflix, Inc.",Austria,2018-09-06,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.4958104,N/A
"Netflix, Inc.",Austria,2018-09-07,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.50295484,N/A
"Netflix, Inc.",Austria,2018-09-08,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.28689465,N/A
"Netflix, Inc.",Austria,2018-09-09,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.7894529,N/A
"Netflix, Inc.",Austria,2018-09-10,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9509545,N/A
"Netflix, Inc.",Austria,2018-09-11,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.725058,N/A
"Netflix, Inc.",Austria,2018-09-12,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.48861527,N/A
"Netflix, Inc.",Austria,2018-09-13,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.4902201,N/A
"Netflix, Inc.",Austria,2018-09-14,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.4701918,N/A
"Netflix, Inc.",Austria,2018-09-15,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.556514,N/A
"Netflix, Inc.",Austria,2018-09-16,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.25802457,N/A
"Netflix, Inc.",Austria,2018-09-17,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9506381,N/A
"Netflix, Inc.",Austria,2018-09-18,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.47572607,N/A
"Netflix, Inc.",Austria,2018-09-19,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.1924351,N/A
"Netflix, Inc.",Austria,2018-09-20,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.48975194,N/A
"Netflix, Inc.",Austria,2018-09-21,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.50998294,N/A
"Netflix, Inc.",Austria,2018-09-22,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.0,N/A
"Netflix, Inc.",Austria,2018-09-23,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.48929664,N/A
"Netflix, Inc.",Austria,2018-09-24,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.5932266,N/A
"Netflix, Inc.",Austria,2018-09-25,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.0,N/A
"Netflix, Inc.",Austria,2018-09-26,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9153737,N/A
"Netflix, Inc.",Austria,2018-09-27,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.70136064,N/A
"Netflix, Inc.",Austria,2018-09-28,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.7249003,N/A
"Netflix, Inc.",Austria,2018-09-29,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.0595746,N/A
"Netflix, Inc.",Austria,2018-09-30,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.1956288,N/A
"Netflix, Inc.",Belgium,2018-09-01,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.0767276,N/A
"Netflix, Inc.",Belgium,2018-09-02,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.9410335,N/A
"Netflix, Inc.",Belgium,2018-09-03,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.285406,N/A
"Netflix, Inc.",Belgium,2018-09-04,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.8270311,N/A
"Netflix, Inc.",Belgium,2018-09-05,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,1.2904415,N/A
"Netflix, Inc.",Belgium,2018-09-06,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.84254676,N/A
"Netflix, Inc.",Belgium,2018-09-07,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.88460785,N/A
"Netflix, Inc.",Belgium,2018-09-08,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.6521314,N/A
"Netflix, Inc.",Belgium,2018-09-09,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.9279786,N/A
"Netflix, Inc.",Belgium,2018-09-10,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.7478663,N/A
"Netflix, Inc.",Belgium,2018-09-11,Netflix,subscriptions,N/A,173,Cancellation Index,N/A,N/A,N/A,0.94706833,N/A
